"inf_ending","definition","conjugation_overrides","base_verb","manual_overrides","related_verbs"
"a-batir","knock down, overthrown, thrown down","","batir"
"abrasar","burn, set on fire"
"abrazar","embrace, hug, clamp"
"abrir","open",,,"{""conjugations"":{""past participle"":""abierto""}}"
"absolver","absolve, acquit","o:ue",,"{""conjugations"":{""past participle"":""absuelto""}}"
"abs-tener-se","abstain",,"tener"
"aburrir","annoy, bore, vex"
"aburrirse","be bored, grow tired, grow weary"
"acabar","finish, end, complete","","","","terminar"
"acelerar","accelerate, speed, hasten"
"aceptar","accept"
"acercar","bring near,place near"
"acercarse","approach,draw near"
"acertar","hit the mark, hit upon, do (something) right, succeed in, guess right","e:ie"
"aclamar","acclaim,applaud,shout,hail"
"aclarar","explain,clarify,make clear,rinse,clear"
"acompañar","accompany,escort,go with,keep company"
"aconsejar","advise,counsel"
"acordar","agree upon","o:ue"
"acordarse","remember"
"acostarse","go to bed,lie down"
"acostumbrar","be accustomed,be in the habit of"
"acuchillar","knife,cut,slash,cut open"
"acudir","attend,present frequently,respond (to a call)"
"acusar","accuse"
"adelantar","advance,keep on,progress,go ahead"
"adelantarse","go forward,go ahead,move ahead,take the lead"
"adivinar","divine,foretell,guess"
"admirar","admire"
"admitir","admit,grant,permit"
"adoptar","adopt"
"adorar","adore,worship"
"adquirir","acquire,get,obtain","i:ie"
"advertir","advertise,give notice,give warning,take notice of,warn","e:ie"
"afeitarse","shave oneself",,"afeitar"
"agarrar","grasp,obtain,seize,catch,clutch"
"agitar","agitate,wave,shake up, stir"
"agotar","exhaust,use up"
"agradar","please,be pleasing"
"agradecer","thank,be thankful for"
"agrandar","enlarge,grow larger,increase"
"agravar","aggravate,make worse"
"agregar","add,collect,gather,aggregate,collate"
"agrupar","group"
"aguardar","expect,wait for"
"ahorrar","economize,save"
"alcanzar","reach,overtake"
"alegrarse","be glad"
"almorzar","have lunch","o:ue"
"alquilar","hire,rent"
"alumbrar","illuminate,light,enlighten"
"alumbrarse","be(get) high,get tipsy,become lively (from liquor)"
"alzar","heave,lift,pick up, raise (prices)"
"amar","love"
"añadir","add"
"andar","walk",,,"{""conjugation_stems"":{""past"":""anduv""}}"
"anunciar","announce,foretell,proclaim"
"apagar","put out(flame,fire),extinguish,turn off (flame,fire,light)"
"aparacer","appear,show up"
"aplaudir","applaud"
"apoderarse","take power,take possession"
"apreciar","appreciate,appraise,esteem"
"aprender","learn"
"apresurarse","hasten,hurry,rush"
"abrobar","approve,pass a test"
"aprovecharse","take advantage, avail oneself"
"apurarse","fret,grieve,worry"
"arrancar","root put,pull up, tear off,snatch"
"arreglar","fix,arrange,adjust,regulate,settle,repair"
"arrojar","fling,hurl,throw"
"articular","articulate,pronounce distinctly"
"asegurar","assure,affirm,assert,insure"
"asir","seize,grasp","go"
"asistir","attend,assist,be present"
"asustarse","be frightened,be scared"
"atacar","attack"
"atenerse","rely on,depend on",,"tener"
"atraer","attract,allure,charm",,"traer"
"atravesar","cross,go through,run through","e:ie","travesar"
"atreverse","dare,venture"
"avanzar","advance"
"averiguar","find out,inquire,investigate"
"ayudar","help,aid,assist"
"bailar","dance"
"bajar","lower,let down,come down,go down,descend"
"balbucear","stammer,hesitate (in speech)"
"bañarse","bathe oneself,take a bath"
"barrer","sweep,whisk"
"bastar","be enough,be sufficient,suffice"
"bautizar","baptize,christen"
"beber","drink"
"bendecir","bless,consecrate",,"decir"
"borrar","erase,cross out"
"bostezar","yawn,gape"
"botar","fling,cast(away),throw(away),launch"
"broncear","bronze,tan"
"bullir","boil,bustle,hustle,stir"
"burlarse","make fun of,poke fun at,ridicule"
"buscar","look for,seek"
"caber","be contained,fit into","e_and_o",,"{""conjugation_stems"":{""present"":[""quep""],""past"":""cup""}}"
"caer","fall","go",,"{""conjugation_stems"":{""present"":[""cai""]}}"
"caerse","fall,fall down,tumble"
"calentar","heat (up),warm (up)","e:ie"
"callarse","be silent,keep quiet"
"calzar","shoe,wear (shoes),put on (shoes)"
"cambiar","change"
"caminar","walk,move along"
"cansarse","become tired,become weary,get tired"
"cantar","sing"
"caracterizar","characterize"
"cargar","load,burden"
"casarse","get married,marry"
"celebrar","celebrate"
"cenar","have supper, eat supper"
"cepillar","brush"
"cerrar","close","e:ie"
"certificar","certify,register (a letter),attest"
"charlar","chat,praise"
"chistar","mumble,mutter"
"chupar","suck"
"cocinar","cook"
"coger","seize,take,grasp,grab,catch"
"colegir","collect"
"colgar","hang (up)"
"colocar","put,place"
"comenzar","begin,start,commence","e:ie"
"comer","eat"
"componer","compose",,"poner"
"comprar","buy,purchase"
"comprender","understand"
"conducir","lead,conduct,drive"
"confesar","confess"
"conocer","know,be acquainted with"
"conseguir","attain,get,obtain",,"seguir"
"constituir","constitute"
"construir","construct"
"contar","count,relate,tell","o:ue"
"contener","contain,hold",,"tener"
"contestar","answer,reply"
"continuar","continue"
"contribuir","contribute"
"convencer","convince"
"convenir","agree,convene",,"venir"
"convertir","convert"
"convocar","call together,convene,convoke,summon"
"corregir","correct"
"correr","run,race,flow"
"cortar","cut,cut off,cut out",
"costar","cost","3rd_only,o:ue"
"crecer","grow"
"creer","believe"
"criar","breed,raise,bring up (rear)"
"cruzar","cross"
"cubrir","cover"
"cuidarse","take care of oneself"
"cumplir","fulfill,keep (a promise),reach one's birthday"
"dar","give","oy"
"deber","owe,must,ought"
"decidir","decide"
"decir","say,tell","go,e:i",,"{""conjugation_stems"":{""future_cond"":""dir""}}"
"declarar","declare"
"dedicarse","devote oneself"
"defendar","defend","e:ie"
"dejar","let,permit,allow,leave"
"delinquir","be delinquent,violate the law"
"demostrar","demonstrate,prove",,"mostrar"
"denunciar","denounce"
"depender","depend"
"derribar","knock down,overthrow,tear down,throw down"
"desayunarse","breakfast,have breakfast",,"ayunar"
"descansar","rest",,"cansar"
"describir","describe,delineate"
"descubrir","discover",,"cubrir"
"desear","desire,wish,want"
"desempeñar","play (a part),act (a part),discharge,perform (a duty),take out of pawn(shop)",,"empeñar"
"mostrar","show,point out","o:ue"
"elegir","select",""
"reír", "laugh",""
"distinguir","distinguish"
"hablar","tell"
"lanzar",""
"competir","","e:i"
"conseguir","","e:i"
"consentir","","e:i"
"convertir","","e:i"
"hervir","","e:i"
"mentir","lie, tell a lie","e:i"
"pedir","","e:i"
"reñir","","e:i"
"repetir","","e:i"
"seguir","","e:i"
"servir","","e:i"
"sugerir","","e:i"
"deshacer","undo,destroy,take apart",,"hacer"
"despedirse"