"huéspedes","guests"
"nuez", "nuts"
"barriga", "stomach"
"lunes", "monday"
"martes", "tuesday"
"miercoles", "wednesday"
"jueves", "thursday"
"viernes", "friday"
"sábado", "saturday"
"domingo", "sunday"
"mañana", "tomorrow"
"hoy", "today"
"dia", "day (el)"
"semana", "week (la)"
"fin de semana", "weekend (el)"
"celular", "cellphone (el)"
"pueblo", "town (el)"
"cuidad", "city"
"camarera", "waitress"
"camarero", "waiter"
"dirección", "address"
"falda", "skirt (la)"
"vestido", "dress (el)"
"camasa", "shirt (la)"
"mascota", "pet (la)"
"jefe", "boss (el)"
"mensaje", "message"
"secretaria", "secretary"